pc1,pc2,classificacao_fuzzy,confianca_classificacao,municipio,uf
-0.012979813968925254,-0.6243612459144652,medio,0.8397877984084878,Uruaçu (GO),GO
0.09372341749257986,-1.0307329580563525,medio,0.7453580901856759,Iporá (GO),GO
0.3461820626342219,-0.7954511908104622,medio,0.6175066312997349,Guanambi (BA),BA
0.7373781355490904,1.0914574715720093,medio,0.6159151193633956,Mossoró (RN),RN
0.416551973606819,0.5362556587856255,medio,0.5718832891246683,Irecê (BA),BA
0.10908417665768844,1.5852630587358185,medio,0.5586206896551724,Caruaru (PE),PE
0.44058297461649787,2.6968304705753585,medio,0.5076923076923081,Feira de Santana (BA),BA
0.5456167878876333,0.8765635271715959,baixo,0.5050397877984083,Imperatriz (MA),MA
0.39536151062364583,-0.47250497368069866,baixo,0.6583554376657828,Floriano (PI),PI
0.8297587664564079,-0.9994988915698404,baixo,0.6981432360742706,Uruguaiana (RS),RS
0.5691873877891066,0.22012667657744925,baixo,0.788328912466844,Barreiras (BA),BA
0.38860089356162514,0.9227284974058798,baixo,0.8053050397877975,Araguaína (TO),TO
0.6706887554573986,0.11504147048089088,baixo,0.887533156498674,Iguatu (CE),CE
0.44758195456814714,-0.7140877428412891,baixo,0.992572944297082,Porangatu (GO),GO
0.807294585392,-0.9151660164382275,baixo,0.9978362783988464,Ji-Paraná (RO),RO
1.3837315448419139,1.4417597320315492,baixo,0.959610530111792,Santo Antônio de Jesus (BA),BA
0.7403614612504616,1.594418207257289,baixo,0.929138117562207,Águas Lindas de Goiás (GO),GO
0.8604109937360643,1.0505338850305068,baixo,0.914172376487559,Arapiraca (AL),AL
0.7095778278808604,-0.8562335857727402,baixo,0.8878470970068518,Cajazeiras (PB),PB
0.9593297563760167,-0.6481712113070979,baixo,0.8359177785791562,Paulo Afonso (BA),BA
1.2332669704661054,0.3176764700553646,baixo,0.8189686260367833,Patos (PB),PB
0.9796636896910826,0.44148149260209635,baixo,0.7378290659935086,Itabaiana (SE),SE
0.8730900366076383,-0.5433411455826709,baixo,0.6819329246303647,Sousa (PB),PB
1.1271409628780804,1.2070379233475186,baixo,0.6806707536963579,Petrolina (PE),PE
0.788618931101308,1.186711313620081,baixo,0.6730977280923187,Luziânia (GO),GO
1.4418818328712364,-0.8395269535207823,baixo,0.5434547421565089,Caicó (RN),RN
1.4297901351729687,1.0598723884341812,muito_baixo,0.5697800216372161,Ilhéus (BA),BA
1.2685964438242043,0.6919188605725957,muito_baixo,0.6163000360620268,Presidente Dutra (MA),MA
2.2681066072210645,0.123824582576932,muito_baixo,0.8521456905878111,Santarém (PA),PA
1.6373700051024682,-0.044674052664362106,muito_baixo,0.911648034619546,São Mateus (ES),ES
1.319647319669525,0.3990948476396203,muito_baixo,0.9689866570501264,Castanhal (PA),PA
1.3865166242106295,-0.49655860411809855,muito_baixo,0.98557518932564,Serra Talhada (PE),PE
1.5128612992943653,-0.6656756811624118,muito_baixo,1.0,Cruzeiro do Sul (AC),AC
1.6473551637333224,0.5681252946824484,muito_baixo,1.0,Parnaíba (PI),PI
1.6791705772944392,0.1957364142964495,muito_baixo,1.0,Quixadá (CE),CE
1.3472464210444508,-0.5241088469959544,muito_baixo,1.0,Corumbá (MS),MS
2.6431408954239077,0.6219868166572773,muito_baixo,1.0,Redenção (PA),PA
2.573187939426856,-0.16671205374755713,muito_baixo,1.0,Cáceres (MT),MT
2.3372086197172055,2.1525534343546178,muito_baixo,1.0,Juazeiro (BA),BA
1.6506815824649266,-0.25587734309170646,muito_baixo,1.0,Bacabal (MA),MA
1.5145119995139926,0.1677428383412053,muito_baixo,1.0,Bom Jesus (PI),PI
1.875348496285066,-0.6143601500871241,muito_baixo,1.0,São Raimundo Nonato (PI),PI
1.6663033894422774,-0.3778507142370746,muito_baixo,1.0,Crateús (CE),CE
1.9565803942950004,0.9160727312943608,muito_baixo,1.0,Santa Inês (MA),MA
2.766134212030739,-1.2984990787847328,muito_baixo,1.0,Lábrea (AM),AM
2.581961884962949,0.6557390616204375,muito_baixo,1.0,Marabá (PA),PA
3.959361503051087,-1.2146342216967545,muito_baixo,1.0,Breves (PA),PA
2.208033003998847,0.5862822983714214,muito_baixo,1.0,Caxias (MA),MA
2.5807720818377287,0.709219898977536,muito_baixo,1.0,Altamira (PA),PA
2.739702293205536,-0.7708531900551049,muito_baixo,1.0,Parintins (AM),AM
3.4130518972318358,-0.8462553837869404,muito_baixo,1.0,Porto Grande (AP),AP
3.138142516343256,-0.8401268691592619,muito_baixo,1.0,Tefé (AM),AM
3.0075017721292134,-0.400841847455406,muito_baixo,1.0,Corrente (PI),PI
3.7951114186069845,-0.3670239923556655,muito_baixo,1.0,Oiapoque (AP),AP
3.080935851719055,-0.3955985519767128,muito_baixo,1.0,Rorainópolis (RR),RR
3.1700134662970876,-0.011839173165484884,muito_baixo,1.0,Caracaraí (RR),RR
