ranking_final,cod_mun,municipio,uf,classificacao_fuzzy,confianca_classificacao,score_final,dinamismo_economico,infraestrutura_urbana,conectividade_digital,oferta_servicos,seguranca_territorial,empresas_1k,regic_var60,via_pav_pct,indice_conectividade,estab_saude_10k,homicidios_100k
27,3105608,Barbacena (MG),MG,muito_alto,0.796615974791067,0.7197058823529413,0.37100840336134455,0.6218487394957983,0.8739495798319328,0.957983193277311,0.9915966386554622,35.53388606493932,0.022518995051158,92.29,77.8,63.35932076254618,3.191905328087969
28,3170107,Uberaba (MG),MG,muito_alto,0.7949034114262226,0.7194957983193279,0.650420168067227,0.9831932773109243,0.773109243697479,0.3865546218487395,0.9663865546218487,53.878213097479254,0.054148515737956,99.37,74.64,24.212931718348546,4.736025763980156
29,4305108,Caxias do Sul (RS),RS,muito_alto,0.7822304425263727,0.7179411764705883,0.8063025210084034,0.6554621848739496,0.7563025210084033,0.6722689075630253,0.6134453781512605,80.70532749659655,0.063383938188596,93.12,74.54,35.641778550639586,14.455200743903465
30,3303906,Petrópolis (RJ),RJ,muito_alto,0.7157829839704071,0.7097899159663867,0.5718487394957983,0.7815126050420168,0.8907563025210085,0.5714285714285714,0.8571428571428571,53.98001298044686,0.024784581323044,95.83,78.51,30.83752568299741,6.454365840627364
31,3131307,Ipatinga (MG),MG,muito_alto,0.6657761337169481,0.7036554621848742,0.600420168067227,0.9327731092436975,0.6218487394957983,0.6974789915966386,0.7983193277310925,53.66419152421058,0.033732995005288,98.95,70.05,37.851675880754044,7.904062248881355
32,3306305,Volta Redonda (RJ),RJ,muito_alto,0.5597684614330725,0.6906512605042018,0.5682773109243698,0.9411764705882353,0.8991596638655462,0.7563025210084033,0.31932773109243695,42.12751803580782,0.073015324292267,99.16,78.83,40.21975585231856,24.850609604569453
33,5211503,Itumbiara (GO),GO,alto,0.5335662419509525,0.679201680672269,0.43907563025210095,0.8991596638655462,0.6974789915966386,0.8739495798319328,0.6554621848739496,53.19996295267204,0.004844634876855,98.43,72.65,47.327961470778924,12.966564786514773
34,3201506,Colatina (ES),ES,alto,0.5715851486505009,0.6745378151260505,0.6252100840336134,0.9243697478991597,0.5378151260504201,0.8319327731092437,0.4957983193277311,53.218698191330716,0.040654603158058,98.9,68.87,45.4874909399915,18.328293052743827
35,4209300,Lages (SC),SC,alto,0.6003562131798876,0.6710084033613447,0.6344537815126051,0.16806722689075632,0.5462184873949579,1.0,0.9747899159663865,56.727744406931706,0.032132461508592,72.6,68.97,80.91840878646632,4.242912820264151
36,3127701,Governador Valadares (MG),MG,alto,0.6308398410741198,0.6672689075630254,0.6331932773109243,0.8151260504201681,0.7478991596638656,0.7058823529411765,0.42857142857142855,49.352376434356906,0.07943384354822,96.74,73.93,37.91251735226756,20.608855586360825
37,4209102,Joinville (SC),SC,alto,0.6616659816413207,0.6634873949579834,0.839075630252101,0.226890756302521,0.8487394957983193,0.453781512605042,0.7815126050420168,69.64273255483785,0.101995630282394,76.54,77.47,26.674584669902014,8.27496239759734
38,5218805,Rio Verde (GO),GO,alto,0.7116728318947807,0.6573529411764707,0.5063025210084034,0.957983193277311,0.4117647058823529,0.9747899159663865,0.5630252100840336,54.61328512689636,0.011769222632583,99.33,64.33,67.25861335601871,15.064511555366511
39,3143302,Montes Claros (MG),MG,alto,0.7955884367721617,0.6470588235294118,0.7037815126050421,0.726890756302521,0.5882352941176471,0.35294117647058826,0.9243697478991597,45.20326380842024,0.18831606052249,94.64,69.28,23.5129393588258,5.3109308613364234
40,4314407,Pelotas (RS),RS,alto,0.8027812029045075,0.6461764705882355,0.6063025210084034,0.11764705882352941,0.680672268907563,0.8403361344537815,0.9495798319327731,51.03090409444709,0.057546885499105,69.3,71.93,46.179590708813734,4.912722415831248
41,4316907,Santa Maria (RS),RS,alto,0.931908480613783,0.6303361344537817,0.753781512605042,0.2605042016806723,0.7226890756302521,0.8067226890756303,0.3949579831932773,55.730767107660036,0.091494037057731,79.81,73.74,43.09345502051631,22.08033562110144
42,4109401,Guarapuava (PR),PR,alto,0.9932182490752159,0.6228151260504203,0.5802521008403362,0.6722689075630253,0.5210084033613446,0.7142857142857143,0.6722689075630253,58.662331885355286,0.015916682424148,93.56,68.22,38.05747612483731,12.630908381980637
43,4119905,Ponta Grossa (PR),PR,alto,0.9872488408037088,0.6200420168067228,0.7138655462184874,0.2689075630252101,0.8571428571428571,0.6302521008403361,0.453781512605042,64.22673709647265,0.039800899006485,79.88,77.52,33.76389272569488,20.090911373967202
44,5003702,Dourados (MS),MS,alto,0.9784168690660187,0.6186974789915968,0.6869747899159664,0.5378151260504201,0.46218487394957986,0.7815126050420168,0.5546218487394958,54.276052217432934,0.063156205013341,91.1,67.41,40.843664095789485,15.203375971269729
45,5107909,Sinop (MT),MT,alto,0.9425369838816514,0.6132352941176472,0.6554621848739496,0.726890756302521,0.44537815126050423,0.7899159663865546,0.40336134453781514,61.18321855006317,0.029386320950303,94.64,66.76,41.974000570520396,21.903908064713313
46,2208007,Picos (PI),PI,alto,0.9215610510046361,0.6100420168067228,0.5012605042016807,0.4369747899159664,0.4957983193277311,0.907563025210084,0.7563025210084033,46.99723191719822,0.030845513497804,89.08,68.09,52.954627512336025,9.628114093152004
47,3201209,Cachoeiro de Itapemirim (ES),ES,alto,0.8660852285272684,0.6015966386554623,0.5907563025210084,0.6302521008403361,0.7058823529411765,0.5966386554621849,0.46218487394957986,51.49473049637755,0.039191011098144,92.51,72.95,32.07991990785097,19.915386519974593
48,4203006,Caçador (SC),SC,alto,0.8550452638551548,0.5999159663865546,0.44789915966386556,0.5630252100840336,0.3949579831932773,0.8235294117647058,0.9159663865546218,54.17797069994574,0.003396553611882,91.41,64.1,44.49267498643516,5.425935973955507
49,5107602,Rondonópolis (MT),MT,alto,0.7187017001545598,0.5791596638655464,0.5747899159663866,0.7983193277310925,0.47058823529411764,0.7310924369747899,0.31092436974789917,57.51068755588765,0.01600085347031,96.68,67.71,39.197912711148135,26.94856498891434
50,2933307,Vitória da Conquista (BA),BA,alto,0.6234820048575844,0.5646638655462186,0.6525210084033614,0.36134453781512604,0.35294117647058826,0.7226890756302521,0.6638655462184874,41.94090255851639,0.160676596713355,83.78,62.95,38.47616068852645,12.672596722920414
51,2307304,Juazeiro do Norte (CE),CE,alto,0.601126076396555,0.5612605042016807,0.5760504201680672,0.5756302521008403,0.7647058823529411,0.4369747899159664,0.4117647058823529,32.8568432825388,0.179790928842605,91.69,74.62,25.513770445966728,21.319725989095485
52,3300407,Barra Mansa (RJ),RJ,medio,0.5381154780304707,0.5400630252100841,0.5313025210084034,0.7394957983193278,0.6554621848739496,0.4789915966386555,0.2857142857142857,38.806549966449666,0.073015324292267,95.26,70.73,28.48835156038471,28.25291063839806
53,2914802,Itabuna (BA),BA,medio,0.5393574740560831,0.539873949579832,0.6819327731092437,0.31932773109243695,0.6722689075630253,0.4117647058823529,0.47058823529411764,46.65574051460034,0.153823726342259,82.67,71.68,24.423163442380616,19.817040512457957
54,3168606,Teófilo Otoni (MG),MG,medio,0.567509383969971,0.5355882352941178,0.4995798319327731,0.4957983193277311,0.22268907563025211,0.773109243697479,0.7478991596638656,41.53749872651326,0.050976060062866,90.13,58.82,40.606034143998606,10.18789387125413
55,2504009,Campina Grande (PB),PB,medio,0.5992492824022966,0.5307563025210085,0.6025210084033614,0.6386554621848739,0.4327731092436975,0.3025210084033613,0.7142857142857143,35.619332393849,0.155297719837444,92.82,66.37,22.843299259142686,11.683942209791143
56,5101803,Barra do Garças (MT),MT,medio,0.6274011923161844,0.5264705882352942,0.4327731092436975,0.6890756302521008,0.31932773109243695,0.680672268907563,0.6218487394957983,51.943360786013585,0.006569233246542,93.97,61.1,37.42233781245485,14.448779078167895
57,5220108,São Luís de Montes Belos (GO),GO,medio,0.7408368293221461,0.509201680672269,0.38151260504201684,0.9705882352941176,0.33613445378151263,0.46218487394957986,0.5966386554621849,53.14309346567411,0.000728351634337,99.34,61.73,26.881720430107528,14.770176060498642
58,1709500,Gurupi (TO),TO,medio,0.768988739236034,0.5049159663865548,0.44075630252100845,0.865546218487395,0.3697478991596639,0.5294117647058824,0.42016806722689076,53.309838472834066,0.003858036478513,97.72,63.54,29.016152716593247,21.145374449339208
59,3301009,Campos dos Goytacazes (RJ),RJ,medio,0.8330205343342905,0.4951680672268908,0.3928571428571429,0.6638655462184874,0.6302521008403361,0.5126050420168067,0.3277310924369748,32.6281176324606,0.03770034786794,93.3,70.27,28.973818091574636,24.816974810770567
60,2312908,Sobral (CE),CE,medio,1.0,0.4697478991596639,0.4747899159663866,0.8067226890756303,0.5588235294117647,0.3277310924369748,0.19327731092436976,27.785029282396575,0.151067230893247,96.69,69.01,23.00231993419465,35.46396221117804
61,3300704,Cabo Frio (RJ),RJ,medio,0.9469496021220161,0.465546218487395,0.5,0.15126050420168066,0.7899159663865546,0.5042016806722689,0.226890756302521,48.63589919022691,0.028186619501338,71.05,76.03,28.942973789278945,34.20942469650389
62,3302403,Macaé (RJ),RJ,medio,0.9466843501326263,0.4655252100840337,0.2758403361344538,0.48739495798319327,0.5714285714285714,0.8823529411764706,0.12605042016806722,40.281503788693584,0.002708042735906,90.11,69.02,48.90600711876651,40.99175700411135
63,3304524,Rio das Ostras (RJ),RJ,medio,0.8994694960212196,0.4617857142857143,0.2619747899159664,0.15966386554621848,0.9663865546218487,0.4957983193277311,0.44537815126050423,37.38873162034877,0.002708042735906,72.3,80.86,28.75564728962049,20.448460294841237
64,5221601,Uruaçu (GO),GO,medio,0.8397877984084878,0.4570588235294118,0.35546218487394954,0.6050420168067226,0.42016806722689076,0.6134453781512605,0.35294117647058826,51.37968316645513,0.00023580878654,92.17,64.95,32.67052131810276,23.50397217129695
65,5210208,Iporá (GO),GO,medio,0.7453580901856759,0.4495798319327731,0.3613445378151261,0.40336134453781514,0.2773109243697479,0.44537815126050423,0.907563025210084,51.283488398161644,0.00094507075534,86.56,59.86,25.781863019840824,5.604752830400179
66,2911709,Guanambi (BA),BA,medio,0.6175066312997349,0.4394537815126051,0.47605042016806726,0.4789915966386555,0.14285714285714285,0.47058823529411764,0.680672268907563,49.705637860550915,0.019172629042804,90.03,53.09,27.443433503763508,12.526048487194963
67,2408003,Mossoró (RN),RN,medio,0.6159151193633956,0.43932773109243706,0.5218487394957984,0.5546218487394958,0.6050420168067226,0.36134453781512604,0.04201680672268908,42.554719420055406,0.051393760300913,91.37,69.62,23.66040887907868,51.402805232503205
68,2914604,Irecê (BA),BA,medio,0.5718832891246683,0.43584033613445383,0.5550420168067227,0.5966386554621849,0.453781512605042,0.3445378151260504,0.13445378151260504,51.28377199457769,0.033055916738135,91.91,67.24,23.353510408418,40.26467311796207
69,2604106,Caruaru (PE),PE,medio,0.5586206896551724,0.4347899159663866,0.6285714285714286,0.25210084033613445,0.5042016806722689,0.2857142857142857,0.33613445378151263,39.05324191637041,0.166934571606704,79.15,68.17,22.3252073810733,24.071017436939226
70,2910800,Feira de Santana (BA),BA,medio,0.5076923076923081,0.4307563025210085,0.6907563025210084,0.5882352941176471,0.4327731092436975,0.2184873949579832,0.03361344537815126,44.64587065451619,0.181416504497464,91.7,66.37,17.719448555183426,52.5741880208739
71,2105302,Imperatriz (MA),MA,baixo,0.5050397877984083,0.42974789915966394,0.6453781512605042,0.14285714285714285,0.5966386554621849,0.29411764705882354,0.24369747899159663,49.66497015854418,0.085378179606465,70.53,69.42,22.628245029475302,31.85529640071766
72,2203909,Floriano (PI),PI,baixo,0.6583554376657828,0.41760504201680676,0.43823529411764706,0.5210084033613446,0.21008403361344538,0.5462184873949579,0.37815126050420167,44.94164678573731,0.019605139408916,90.68,58.81,29.982590753755883,22.567541427558194
73,4322400,Uruguaiana (RS),RS,baixo,0.6981432360742706,0.4144537815126051,0.35630252100840343,0.07563025210084033,0.36134453781512604,0.6470588235294118,0.6302521008403361,42.99974404914256,0.008304560890874,59.18,63.4,34.38273184881836,13.650712396553194
74,2903201,Barreiras (BA),BA,baixo,0.788328912466844,0.4073109243697479,0.5369747899159664,0.680672268907563,0.24369747899159663,0.2689075630252101,0.2773109243697479,47.735610452377074,0.036490128475273,93.72,59.47,19.72028497376889,28.79787646963076
75,1702109,Araguaína (TO),TO,baixo,0.8053050397877975,0.40596638655462197,0.6571428571428573,0.37815126050420167,0.22268907563025211,0.31092436974789917,0.3025210084033613,47.2851880607819,0.114888843005786,85.08,58.82,22.942072725786772,27.437084430330238
76,2305506,Iguatu (CE),CE,baixo,0.887533156498674,0.3994537815126051,0.33571428571428574,0.5126050420168067,0.5126050420168067,0.3949579831932773,0.2689075630252101,33.16201664219285,0.020801577435768,90.48,68.21,24.26986457823462,30.59226627508566
77,5218003,Porangatu (GO),GO,baixo,0.992572944297082,0.3911344537815127,0.30798319327731094,0.44537815126050423,0.3025210084033613,0.37815126050420167,0.6386554621848739,43.030891080172395,0.001684298709031,89.19,60.49,23.692939504027798,13.53882257373017
78,1100122,Ji-Paraná (RO),RO,baixo,0.9978362783988463,0.3902941176470589,0.44663865546218484,0.10084033613445378,0.18487394957983194,0.9327731092436975,0.11764705882352941,49.930428767905546,0.013198641647587,65.67,56.49,56.461277376078755,41.823168426725005
79,2928703,Santo Antônio de Jesus (BA),BA,baixo,0.9596105301117919,0.3858403361344538,0.4563025210084034,0.5756302521008403,0.48739495798319327,0.31932773109243695,0.008403361344537815,40.96841492406967,0.034504796560094,91.69,67.96,22.997428557566348,70.83596137984571
80,5200258,Águas Lindas de Goiás (GO),GO,baixo,0.929138117562207,0.3822899159663866,0.4199579831932773,0.4117647058823529,0.5798319327731093,0.008403361344537815,0.5126050420168067,20.749425104012975,0.134322305346087,87.96,69.03,5.361265081327289,17.723190351495173
81,2700300,Arapiraca (AL),AL,baixo,0.914172376487559,0.38054621848739506,0.4449579831932774,0.24369747899159663,0.6134453781512605,0.24369747899159663,0.2605042016806723,30.405290247809933,0.09009238990185,78.32,69.88,18.705048232607286,30.677983433888947
82,2503704,Cajazeiras (PB),PB,baixo,0.8878470970068518,0.3774789915966387,0.2596638655462185,0.3697478991596639,0.2689075630252101,0.5546218487394958,0.5294117647058824,34.361707174370245,0.003888731347634,83.85,59.61,30.361011401192304,15.813026771454323
83,2924009,Paulo Afonso (BA),BA,baixo,0.8359177785791562,0.3714285714285715,0.1365546218487395,0.7689075630252101,0.15966386554621848,0.7647058823529411,0.20168067226890757,26.136262957384602,0.003771072818805,95.78,55.24,40.57765571010898,35.43900062018251
84,2510808,Patos (PB),PB,baixo,0.8189686260367833,0.3694537815126051,0.2819327731092437,0.21008403361344538,0.6470588235294118,0.5630252100840336,0.07563025210084033,33.08292541074977,0.012735825619544,76.12,70.67,30.436679106286046,47.49672854165657
