CD_MUN,NM_MUN,CD_UF,NM_UF,setores_urbanos,populacao_urbana,domicilios_urbanos,area_urbana_km2,area_media_setor_urbano_km2,area_mediana_setor_urbano_km2,area_dp_setor_urbano_km2,densidade_demografica_urbana,densidade_domiciliar_urbana,pct_setores_urbanos_no_total_lido
3146750.0,Palmópolis,31,Minas Gerais,11,4702,2195,1.2878345,0.11707586363636363,0.1187764,0.03570587680520596,3651.0902604333087,1704.411552881989,0.0030988970743594437
3146909.0,Papagaios,31,Minas Gerais,47,11981,4595,4.3163125,0.09183643617021278,0.0761394,0.059959432296437354,2775.74897554336,1064.566108223165,0.013240742044990352
3147006.0,Paracatu,31,Minas Gerais,115,84016,32937,24.7251329,0.2150011556521739,0.1366018,0.22186569142885657,3397.999935523097,1332.126307802374,0.03239756032284873
3147105.0,Pará de Minas,31,Minas Gerais,192,92231,37921,65.2050836,0.33960981041666666,0.11033965000000001,0.643414293169493,1414.4756038622731,581.5650852106262,0.05408983984336484
3147204.0,Paraguaçu,31,Minas Gerais,33,18299,7299,12.4057088,0.3759305696969697,0.1691599,0.6647727845773586,1475.0467139773586,588.3581597530324,0.009296691223078331
3147303.0,Paraisópolis,31,Minas Gerais,38,17319,8142,5.5742505,0.14669080263157894,0.08763215,0.12539309852583158,3106.9647838754286,1460.6447987940262,0.010705280802332625
3147402.0,Paraopeba,31,Minas Gerais,65,20862,8606,9.9739509,0.15344539846153846,0.0802367,0.21658245156199718,2091.648556240637,862.847640447077,0.018311664530305805
3147501.0,Passabém,31,Minas Gerais,3,938,543,1.1114076,0.3704692,0.3275126,0.3264490331651022,843.9747937660316,488.56963007990953,0.0008451537475525756
3147600.0,Passa Quatro,31,Minas Gerais,32,13886,6046,11.5610757,0.361283615625,0.22392315000000002,0.4673930072003922,1201.09930601008,522.9617171350241,0.009014973307227473
3147709.0,Passa Tempo,31,Minas Gerais,17,6948,3268,6.1634649,0.36255675882352945,0.1385263,0.43714514331682086,1127.2879967240503,530.2212396796483,0.004789204569464595
3147808.0,Passa Vinte,31,Minas Gerais,4,1496,830,0.6321523,0.158038075,0.12358745,0.08177196050217439,2366.51832161332,1312.9747372587271,0.0011268716634034342
3147907.0,Passos,31,Minas Gerais,290,107413,46724,45.672008,0.15748968275862069,0.07013185,0.3815024792877758,2351.8344102584674,1023.0336270741589,0.08169819559674897
3147956.0,Patis,31,Minas Gerais,6,2485,1219,1.4524573,0.24207621666666668,0.28511765,0.09466393003993478,1710.893669645228,839.267357463796,0.0016903074951051512
3148004.0,Patos de Minas,31,Minas Gerais,355,149348,69534,89.0263785,0.2507785309859155,0.0897523,0.7759096483021821,1677.5702046556908,781.049405486038,0.10000986012705478
3148103.0,Patrocínio,31,Minas Gerais,161,81224,32672,47.9340618,0.29772709192546587,0.1094082,0.6931458543163781,1694.4944148254926,681.6029932184883,0.04535658445198822
3148202.0,Patrocínio do Muriaé,31,Minas Gerais,7,4633,2267,3.6843348000000002,0.5263335428571428,0.1759889,0.6977431007766562,1257.486154624167,615.3078162169193,0.0019720254109560098
3148301.0,Paula Cândido,31,Minas Gerais,14,5038,2305,2.994834,0.2139167142857143,0.19056225,0.17498248426646706,1682.230133623433,769.6586855899192,0.0039440508219120195
3148400.0,Paulistas,31,Minas Gerais,5,2514,1099,5.2918430999999995,1.05836862,0.8897162,0.9113418290586891,475.0707744906496,207.67811502196656,0.0014085895792542928
3148509.0,Pavão,31,Minas Gerais,7,5010,2216,1.9018410000000001,0.2716915714285714,0.2510882,0.1960153840423902,2634.2896172708442,1165.1867848048284,0.0019720254109560098
3148608.0,Peçanha,31,Minas Gerais,20,10101,4117,6.2278107,0.311390535,0.21594945,0.3249241503169337,1621.9182769957988,661.0669781597569,0.005634358317017171
3148707.0,Pedra Azul,31,Minas Gerais,44,22049,7797,8.0681026,0.18336596818181816,0.1158885,0.1688983855045377,2732.860635659244,966.3982210637729,0.012395588297437775
3148756.0,Pedra Bonita,31,Minas Gerais,4,2312,868,1.1026001,0.275650025,0.29291525,0.035923742517113035,2096.86177245948,787.2301118057217,0.0011268716634034342
3148806.0,Pedra do Anta,31,Minas Gerais,9,2249,1052,1.066113,0.118457,0.114595,0.07366622191686635,2109.532479202486,986.7621912498955,0.002535461242657727
3148905.0,Pedra do Indaiá,31,Minas Gerais,5,2185,928,0.9394990999999999,0.18789982,0.1579732,0.1012154615055526,2325.707390246569,987.7603927454535,0.0014085895792542928
3149002.0,Pedra Dourada,31,Minas Gerais,4,2041,889,0.6590845000000001,0.16477112500000002,0.15620585,0.07060701579604181,3096.7197681025723,1348.8407025199347,0.0011268716634034342
3149101.0,Pedralva,31,Minas Gerais,10,5277,2369,3.4496713,0.34496713,0.15409775,0.40525418822971687,1529.7109611573717,686.7320953158638,0.0028171791585085855
3149150.0,Pedras de Maria da Cruz,31,Minas Gerais,13,6232,2665,2.9561155,0.2273935,0.1840787,0.13092973931524624,2108.172025078181,901.5209317768538,0.003662332906061161
3149200.0,Pedrinópolis,31,Minas Gerais,6,2916,1215,2.1677682000000003,0.3612947,0.33868005,0.20023130508875978,1345.1622733463844,560.4842805609935,0.0016903074951051512
3149309.0,Pedro Leopoldo,31,Minas Gerais,199,60913,26092,42.1714364,0.2119167658291457,0.0867471,0.309295441674313,1444.41368850315,618.7126222715051,0.05606186525432085
3149408.0,Pedro Teixeira,31,Minas Gerais,3,1261,650,1.1132405,0.3710801666666667,0.3577498,0.2775994012370404,1132.7291811607645,583.8810212168888,0.0008451537475525756
3149507.0,Pequeri,31,Minas Gerais,4,3189,1532,2.0943527,0.523588175,0.60536005,0.2900907563749361,1522.6661679286397,731.4909279607012,0.0011268716634034342
3149606.0,Pequi,31,Minas Gerais,9,3079,1553,4.0945169,0.45494632222222225,0.1358874,0.5547489304414404,751.9812654821378,379.2877250060929,0.002535461242657727
3149705.0,Perdigão,31,Minas Gerais,36,10820,4843,9.4311428,0.2619761888888889,0.18449084999999998,0.295397440270572,1147.2628746539604,513.5114696810656,0.010141844970630908
3149804.0,Perdizes,31,Minas Gerais,25,13463,5175,6.9511513,0.278046052,0.2140318,0.19741774220771488,1936.8014619391179,744.480989789418,0.007042947896271463
3149903.0,Perdões,31,Minas Gerais,36,19265,8089,10.5526114,0.29312809444444443,0.1415243,0.43486308634712667,1825.6144635440664,766.5401191595097,0.010141844970630908
3149952.0,Periquito,31,Minas Gerais,9,4819,2170,2.9742784,0.3304753777777778,0.3020284,0.15832008557853436,1620.2249258173006,729.5887298243499,0.002535461242657727
3150000.0,Pescador,31,Minas Gerais,7,2949,1337,1.221408,0.17448685714285714,0.1459296,0.12487259171547424,2414.4266289397156,1094.6383190547303,0.0019720254109560098
3150109.0,Piau,31,Minas Gerais,4,1658,884,1.7927919,0.448197975,0.34055215,0.36882391022516764,924.8145309001005,493.0856726873877,0.0011268716634034342
3150158.0,Piedade de Caratinga,31,Minas Gerais,7,5603,2547,1.2561225999999999,0.1794460857142857,0.1415456,0.1707080908447266,4460.551860144862,2027.668318363192,0.0019720254109560098
3150208.0,Piedade de Ponte Nova,31,Minas Gerais,5,3352,1247,0.7976652,0.15953304,0.1594883,0.04938736372421593,4202.264308384019,1563.3125276118353,0.0014085895792542928
