geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
3556503,Várzea Paulista,SP,demais municipios,A
5107958,Tangará da Serra,MT,capital de imediata,A
3543303,Ribeirão Pires,SP,conurbado com uf,A
3300308,Barra do Piraí,RJ,demais municipios,A
3200607,Aracruz,ES,demais municipios,A
3526704,Leme,SP,demais municipios,A
3147105,Pará de Minas,MG,capital de imediata,A
4119509,Piraquara,PR,conurbado com uf,A
5107925,Sorriso,MT,capital de imediata,A
2307700,Maranguape,CE,demais municipios,A
2806701,São Cristóvão,SE,conurbado com uf,A
2606200,Goiana,PE,capital de imediata,A
2601706,Belo Jardim,PE,capital de imediata,A
5006606,Ponta Porã,MS,capital de imediata,A
5102504,Cáceres,MT,capital de intermediaria,A
3536505,Paulínia,SP,demais municipios,A
2600054,Abreu e Lima,PE,demais municipios,A
3504503,Avaré,SP,capital de imediata,A
4115705,Matinhos,PR,demais municipios,A
3148103,Patrocínio,MG,capital de imediata,A
3147006,Paracatu,MG,demais municipios,A
2908408,Conceição do Coité,BA,capital de imediata,A
2906006,Campo Formoso,BA,demais municipios,A
4118402,Paranavaí,PR,capital de imediata,A
3132404,Itajubá,MG,capital de imediata,A
3171303,Viçosa,MG,capital de imediata,A
3305554,Seropédica,RJ,conurbado com uf,A
3302601,Mangaratiba,RJ,demais municipios,A
3530706,Mogi Mirim,SP,demais municipios,A
2101202,Bacabal,MA,capital de imediata,A
2311306,Quixadá,CE,capital de intermediaria,A
3101607,Alfenas,MG,capital de imediata,A
3302270,Japeri,RJ,conurbado com uf,A
4203204,Camboriú,SC,demais municipios,A
3539806,Poá,SP,conurbado com uf,A
2101608,Barra do Corda,MA,capital de imediata,A
4303004,Cachoeira do Sul,RS,capital de imediata,A
1505502,Paragominas,PA,capital de imediata,A
3508504,Caçapava,SP,demais municipios,A
5003207,Corumbá,MS,capital de intermediaria,A
4309308,Guaíba,RS,demais municipios,A
4211306,Navegantes,SC,demais municipios,A
4317103,Sant'Ana do Livramento,RS,capital de imediata,A
4118501,Pato Branco,PR,capital de imediata,A
3120904,Curvelo,MG,capital de imediata,A
3522406,Itapeva,SP,capital de imediata,A
2101400,Balsas,MA,capital de imediata,A
5215231,Novo Gama,GO,conurbado com uf,A
3146107,Ouro Preto,MG,demais municipios,A
3509205,Cajamar,SP,conurbado com uf,A
2407104,Macaíba,RN,conurbado com uf,A
1709500,Gurupi,TO,capital de intermediaria,A
3304755,São Francisco de Itabapoana,RJ,demais municipios,A
4310207,Ijuí,RS,capital de intermediaria,A
1301902,Itacoatiara,AM,capital de imediata,A
2906501,Candeias,BA,demais municipios,A
2208007,Picos,PI,capital de intermediaria,A
2302800,Canindé,CE,capital de imediata,A
2609907,Ouricuri,PE,demais municipios,A
2930105,Senhor do Bonfim,BA,capital de imediata,A
1302504,Manacapuru,AM,capital de imediata,A
2311405,Quixeramobim,CE,demais municipios,A
4216206,São Francisco do Sul,SC,demais municipios,A
2707701,Rio Largo,AL,conurbado com uf,A
2311801,Russas,CE,capital de imediata,A
2904605,Brumado,BA,capital de imediata,A
1504703,Moju,PA,demais municipios,A
2910057,Dias d'Ávila,BA,demais municipios,A
3550605,São Roque,SP,demais municipios,A
5205497,Cidade Ocidental,GO,conurbado com uf,A
1506138,Redenção,PA,capital de intermediaria,A
3509007,Caieiras,SP,conurbado com uf,A
1600600,Santana,AP,conurbado com uf,A
3126109,Formiga,MG,capital de imediata,A
2914000,Ipirá,BA,demais municipios,A
2304103,Crateús,CE,capital de intermediaria,A
3539301,Pirassununga,SP,demais municipios,A
4204301,Concórdia,SC,capital de imediata,A
