"Municípios, cluster, categoria, classe ABC e UF - SC todos",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
3,4219705,Xaxim (SC),SC,demais municipios,B,15547
3,4200408,Água Doce (SC),SC,demais municipios,C,4764
3,4200556,Águas Frias (SC),SC,demais municipios,C,1716
3,4200507,Águas de Chapecó (SC),SC,demais municipios,C,3880
4,4206900,Ibirama (SC),SC,capital de imediata,C,10302
4,4208500,Ituporanga (SC),SC,capital de imediata,B,15010
4,4215802,São Bento do Sul (SC),SC,capital de imediata,A,39803
4,4200705,Alfredo Wagner (SC),SC,demais municipios,C,10115
4,4201257,Apiúna (SC),SC,demais municipios,C,5336
4,4201703,Ascurra (SC),SC,demais municipios,C,4243
4,4201901,Aurora (SC),SC,demais municipios,C,4309
4,4202206,Benedito Novo (SC),SC,demais municipios,C,6276
4,4202602,Bom Retiro (SC),SC,demais municipios,C,5976
4,4204194,Chapadão do Lageado (SC),SC,demais municipios,C,2072
4,4204509,Corupá (SC),SC,demais municipios,C,8892
4,4205159,Doutor Pedrinho (SC),SC,demais municipios,C,2336
4,4206108,Grão-Pará (SC),SC,demais municipios,C,4130
4,4207403,Imbuia (SC),SC,demais municipios,C,4234
4,4207502,Indaial (SC),SC,demais municipios,A,34854
4,4209151,José Boiteux (SC),SC,demais municipios,C,3259
4,4209805,Leoberto Leal (SC),SC,demais municipios,C,2796
4,4209904,Lontras (SC),SC,demais municipios,C,7369
4,4214102,Presidente Nereu (SC),SC,demais municipios,C,1811
4,4215000,Rio Negrinho (SC),SC,demais municipios,B,18971
4,4214706,Rio dos Cedros (SC),SC,demais municipios,C,6969
4,4215109,Rodeio (SC),SC,demais municipios,C,6262
4,4216503,São Joaquim (SC),SC,demais municipios,B,15895
4,4218202,Timbó (SC),SC,demais municipios,A,21801
4,4218905,Urubici (SC),SC,demais municipios,C,7935
4,4219200,Vidal Ramos (SC),SC,demais municipios,C,4904
5,4210100,Mafra (SC),SC,capital de imediata,A,29736
5,4200051,Abdon Batista (SC),SC,demais municipios,C,2206
5,4201000,Anita Garibaldi (SC),SC,demais municipios,C,6008
5,4202081,Bandeirante (SC),SC,demais municipios,C,2047
5,4202131,Bela Vista do Toldo (SC),SC,demais municipios,C,3682
5,4202156,Belmonte (SC),SC,demais municipios,C,1546
5,4202438,Bocaina do Sul (SC),SC,demais municipios,C,3010
5,4202875,Brunópolis (SC),SC,demais municipios,C,1885
5,4203154,Calmon (SC),SC,demais municipios,C,1865
5,4203402,Campo Belo do Sul (SC),SC,demais municipios,C,5195
5,4203501,Campo Erê (SC),SC,demais municipios,C,5473
5,4203808,Canoinhas (SC),SC,demais municipios,A,28559
5,4203253,Capão Alto (SC),SC,demais municipios,C,2694
5,4204152,Celso Ramos (SC),SC,demais municipios,C,2166
5,4204178,Cerro Negro (SC),SC,demais municipios,C,2709
5,4204459,Coronel Martins (SC),SC,demais municipios,C,1453
5,4204558,Correia Pinto (SC),SC,demais municipios,C,8578
5,4205175,Entre Rios (SC),SC,demais municipios,C,1899
5,4205555,Frei Rogério (SC),SC,demais municipios,C,1560
5,4207205,Imaruí (SC),SC,demais municipios,C,9258
5,4207684,Ipuaçu (SC),SC,demais municipios,C,3840
5,4207809,Irani (SC),SC,demais municipios,C,5806
5,4207858,Irati (SC),SC,demais municipios,C,1327
5,4207908,Irineópolis (SC),SC,demais municipios,C,6301
5,4208104,Itaiópolis (SC),SC,demais municipios,B,13018
5,4209177,Jupiá (SC),SC,demais municipios,C,1669
5,4209706,Lebon Régis (SC),SC,demais municipios,C,6691
5,4210050,Macieira (SC),SC,demais municipios,C,1344
5,4210308,Major Vieira (SC),SC,demais municipios,C,4518
5,4210704,Matos Costa (SC),SC,demais municipios,C,1585
5,4210852,Mirim Doce (SC),SC,demais municipios,C,1681
5,4211058,Monte Carlo (SC),SC,demais municipios,C,4225
5,4211108,Monte Castelo (SC),SC,demais municipios,C,4206
5,4211652,Novo Horizonte (SC),SC,demais municipios,C,1756
5,4211850,Ouro Verde (SC),SC,demais municipios,C,1418
5,4211892,Painel (SC),SC,demais municipios,C,2415
5,4212205,Papanduva (SC),SC,demais municipios,C,11157
5,4212239,Paraíso (SC),SC,demais municipios,C,2876
5,4212700,Petrolândia (SC),SC,demais municipios,C,4750
5,4213302,Ponte Alta (SC),SC,demais municipios,C,2988
5,4213351,Ponte Alta do Norte (SC),SC,demais municipios,C,1575
5,4215059,Rio Rufino (SC),SC,demais municipios,C,2162
5,4214409,Rio das Antas (SC),SC,demais municipios,C,4206
5,4214508,Rio do Campo (SC),SC,demais municipios,C,4391
